
1586684131.64461,81, 15, 0, 0, 66, 7.92
1586684131.706974,81, 14, 3, 15, 67, 8.039999999999999
1586684131.753728,81, 15, 168, 154, 66, 7.92
1586684131.803136,81, 15, 169, 141, 66, 7.92
1586684131.853675,81, 16, 193, 191, 65, 7.8
1586684131.895555,81, 16, 243, 246, 65, 7.8
1586684131.940636,82, 16, 232, 215, 66, 7.92
1586684131.99497,81, 16, 210, 186, 65, 7.8
1586684132.054843,81, 15, 199, 165, 66, 7.92
1586684132.097022,80, 16, 177, 173, 64, 7.68
1586684132.143903,81, 17, 193, 203, 64, 7.68
1586684132.185642,80, 19, 240, 207, 61, 7.319999999999999
1586684132.229318,80, 20, 215, 207, 60, 7.199999999999999
1586684132.275974,80, 22, 209, 192, 58, 6.96
1586684132.325535,80, 21, 211, 181, 59, 7.08
1586684132.365305,80, 23, 191, 183, 57, 6.84
1586684132.413359,78, 22, 212, 188, 56, 6.72
1586684132.455431,79, 26, 193, 203, 53, 6.359999999999999
1586684132.50351,79, 31, 214, 202, 48, 5.76
1586684132.546391,79, 35, 209, 192, 44, 5.279999999999999
1586684132.593473,78, 37, 184, 197, 41, 4.92
1586684132.636036,78, 40, 203, 189, 38, 4.56
1586684132.684031,77, 44, 199, 177, 33, 3.96
1586684132.730543,75, 50, 209, 208, 25, 3.0
1586684132.783993,76, 52, 220, 192, 24, 2.88
1586684132.827347,75, 57, 190, 191, 18, 2.16
1586684132.87468,73, 61, 212, 215, 12, 1.44
1586684132.915663,69, 66, 197, 190, 3, 0.36
1586684132.960385,64, 69, 194, 203, -5, -0.6
1586684133.00494,59, 70, 204, 196, -11, -1.32
1586684133.054907,51, 68, 187, 192, -17, -2.04
1586684133.098811,46, 68, 203, 207, -22, -2.64
1586684133.142655,40, 71, 211, 214, -31, -3.72
1586684133.183859,34, 73, 184, 196, -39, -4.68
1586684133.225803,30, 76, 199, 202, -46, -5.52
1586684133.27148,25, 77, 190, 207, -52, -6.24
1586684133.316332,18, 77, 193, 198, -59, -7.08
1586684133.36146,14, 76, 200, 210, -62, -7.44
1586684133.408601,13, 75, 182, 215, -62, -7.44
1586684133.458796,11, 72, 203, 212, -61, -7.319999999999999
1586684133.500047,9, 72, 193, 191, -63, -7.56
1586684133.553596,9, 72, 186, 203, -63, -7.56
1586684133.595133,7, 74, 183, 210, -67, -8.039999999999999
1586684133.638948,7, 75, 196, 204, -68, -8.16
1586684133.687023,7, 75, 191, 225, -68, -8.16
1586684133.735236,8, 76, 198, 207, -68, -8.16
1586684133.783238,8, 74, 194, 213, -66, -7.92
1586684133.826432,8, 74, 182, 209, -66, -7.92
1586684133.866631,8, 72, 191, 187, -64, -7.68
1586684133.9135,8, 74, 196, 212, -66, -7.92
1586684133.960407,8, 75, 192, 214, -67, -8.039999999999999
1586684134.011484,9, 74, 200, 210, -65, -7.8
1586684134.053953,8, 72, 183, 211, -64, -7.68
1586684134.099852,8, 71, 194, 206, -63, -7.56
1586684134.144059,8, 71, 191, 200, -63, -7.56
1586684134.18517,8, 72, 195, 209, -64, -7.68
1586684134.234867,9, 74, 194, 204, -65, -7.8
1586684134.283773,8, 74, 195, 219, -66, -7.92
1586684134.32371,8, 75, 186, 202, -67, -8.039999999999999
1586684134.367396,8, 75, 184, 205, -67, -8.039999999999999
1586684134.412461,8, 75, 194, 208, -67, -8.039999999999999
1586684134.459641,7, 75, 178, 199, -68, -8.16
1586684134.500949,8, 75, 192, 205, -67, -8.039999999999999
1586684134.545252,8, 72, 181, 210, -64, -7.68
1586684134.590792,8, 71, 201, 219, -63, -7.56
1586684134.634609,7, 71, 199, 204, -64, -7.68
1586684134.679072,7, 72, 178, 210, -65, -7.8
1586684134.725735,8, 72, 190, 206, -64, -7.68
1586684134.769782,8, 73, 196, 191, -65, -7.8
1586684134.812574,8, 75, 188, 208, -67, -8.039999999999999
1586684134.856782,8, 76, 197, 209, -68, -8.16
1586684134.902288,8, 75, 195, 207, -67, -8.039999999999999
1586684134.947132,8, 74, 195, 203, -66, -7.92
1586684134.992779,8, 73, 191, 217, -65, -7.8
1586684135.034642,8, 72, 193, 203, -64, -7.68
1586684135.079271,8, 72, 194, 213, -64, -7.68
1586684135.124475,8, 73, 197, 217, -65, -7.8
